"Incident Date","State","City Or County","Address","# Killed","# Injured","Operations"
2018-11-25,"Texas","Houston","4500 block of Yale St",1,3,"View Incident
View Source"
2018-11-25,"Alabama","Demopolis","Floyd St and Field St",2,2,"View Incident
View Source"
2018-11-25,"California","Oakland","1000 block of 24th St",0,4,"View Incident
View Source"
2018-11-24,"Florida","Orlando","5898 S Orange Blossom Trail",2,2,"View Incident
View Source"
2018-11-23,"Florida","Miami","5801 NW 27th Ave",2,5,"View Incident
View Source"
2018-11-22,"Indiana","Fort Wayne","6100 block of Downingtown Dr",3,2,"View Incident
View Source"
2018-11-21,"Missouri","Saint Louis","4200 block of Shreve Ave",0,4,"View Incident
View Source"
2018-11-19,"Pennsylvania","Philadelphia","5100 block of Malcolm St",4,0,"View Incident
View Source"
2018-11-19,"Colorado","Denver","1200 21st Street",1,4,"View Incident
View Source"
2018-11-18,"California","Los Angeles (Watts)","95th St and Defiance Ave",1,4,"View Incident
View Source"
2018-11-16,"Arkansas","Little Rock","4405 W 14th St",3,1,"View Incident
View Source"
2018-11-14,"Louisiana","Baton Rouge","4800 block of Gus Young Ave",3,1,"View Incident
View Source"
2018-11-13,"New Mexico","Gallup","CR 1 and Defiance Draw Rd",4,1,"View Incident
View Source"
2018-11-13,"Indiana","Indianapolis","2007 Blue Pine Ln",2,2,"View Incident
View Source"
2018-11-12,"North Carolina","Dunn","4640 Woods Crossroads Rd",3,1,"View Incident
View Source"
2018-11-11,"Arizona","Globe","598 N Broad St",3,1,"View Incident
View Source"
2018-11-07,"California","Thousand Oaks","99 Rolling Oaks Dr",13,2,"View Incident
View Source"
2018-11-03,"New York","Watertown","136 Franklin St",0,5,"View Incident
View Source"
2018-11-02,"California","Long Beach (North Long Beach)","5800 block of Brayton Ave",0,4,"View Incident
View Source"
2018-11-02,"Florida","Tallahassee","1950 Thomasville Rd",3,5,"View Incident
View Source"
2018-11-01,"Minnesota","Minneapolis","3400 block of Girard Ave N",0,5,"View Incident
View Source"
2018-11-01,"Missouri","Springfield","906 E Locust St",2,2,"View Incident
View Source"
2018-10-31,"Michigan","Detroit","19000 block of Langholm St",1,3,"View Incident
View Source"
2018-10-30,"California","Vallejo","Woodrow Ave and Reis Ave",2,3,"View Incident
View Source"
2018-10-30,"California","Los Angeles","65th Place and Vermont Avenue",0,5,"View Incident
View Source"
2018-10-29,"California","Riverside","3252 Mission Inn Ave",0,7,"View Incident
View Source"
2018-10-28,"Arkansas","El Dorado","2 Whites Quarters",2,2,"View Incident
View Source"
2018-10-27,"Tennessee","Memphis","4275 Ladyslipper",0,5,"View Incident
View Source"
2018-10-27,"Pennsylvania","Pittsburgh","5898 Wilkins Ave",11,7,"View Incident
View Source"
2018-10-26,"New Jersey","Jersey City","77 Brinkerhoff St",1,3,"View Incident
View Source"
2018-10-24,"Illinois","Chicago","6200 block of S King Dr",0,5,"View Incident
View Source"
2018-10-22,"Illinois","Chicago","9231 S Cottage Grove Av",0,6,"View Incident
View Source"
2018-10-21,"Florida","Jacksonville","900 block of A Philip Randolph Blvd",1,5,"View Incident
View Source"
2018-10-21,"Washington","Lakewood","8722 S Tacoma Way",1,3,"View Incident
View Source"
2018-10-16,"Georgia","Atlanta","Broad St",0,4,"View Incident
View Source"
2018-10-15,"Tennessee","Columbia","1075 Carters Creek Pike",5,0,"View Incident
View Source"
2018-10-14,"Nevada","Las Vegas","2815 W Lake Mead Blvd",3,1,"View Incident
View Source"
2018-10-14,"Texas","Fort Worth","5310 E Rosedale St",0,4,"View Incident
View Source"
2018-10-14,"California","Palo Alto (East Palo Alto)","2500 block of Pulgas Ave",2,2,"View Incident
View Source"
2018-10-13,"Missouri","Saint Louis","400 block of Midlothian Road",0,4,"View Incident
View Source"
2018-10-13,"Texas","Taft","511 Wilburn St",4,1,"View Incident
View Source"
2018-10-12,"South Carolina","Spartanburg","1620 John B White Sr Blvd",0,6,"View Incident
View Source"
2018-10-12,"Nevada","Las Vegas","6500 block of W Charleston Blvd",0,4,"View Incident
View Source"
2018-10-08,"Alabama","Birmingham","Joppa Ave",0,4,"View Incident
View Source"
2018-10-06,"Oklahoma","Tulsa","9453 E 31st St",0,4,"View Incident
View Source"
2018-10-06,"Texas","Houston","6802 Cullen Blvd",1,3,"View Incident
View Source"
2018-10-06,"California","Oakland","Williams St and Telegraph Ave",0,6,"View Incident
View Source"
2018-10-04,"New Mexico","Espanola (Española)","1813 N Riverside Dr",1,3,"View Incident
View Source"
2018-10-04,"Georgia","Swainsboro","Lucky St",0,4,"View Incident
View Source"
2018-10-03,"South Carolina","Florence","932 Ashton Dr",2,6,"View Incident
View Source"
2018-10-03,"Pennsylvania","Philadelphia","5101 Germantown Ave",1,4,"View Incident
View Source"
2018-10-01,"Illinois","Chicago","500 block of S Michigan Ave",2,2,"View Incident
View Source"
2018-09-30,"California","Compton","200 block N Long Beach Blvd",1,3,"View Incident
View Source"
2018-09-29,"Florida","Orlando","1700 block of 24th St",1,4,"View Incident
View Source"
2018-09-28,"Pennsylvania","Philadelphia","5100 block of Haverford Ave",2,2,"View Incident
View Source"
2018-09-24,"Tennessee","Memphis","1528 Ragan St",3,2,"View Incident
View Source"
2018-09-23,"California","Bakersfield","2600 block of Chandler Court",1,4,"View Incident
View Source"
2018-09-23,"California","Baldwin Park","3700 block of Loma Lane",0,4,"View Incident
View Source"
2018-09-22,"District of Columbia","Washington","1800 block of Benning Rd",0,4,"View Incident
View Source"
2018-09-22,"New York","Hempstead","Dolan St",0,4,"View Incident
View Source"
2018-09-20,"Maryland","Aberdeen","1501 Perryman Rd",4,3,"View Incident
View Source"
2018-09-20,"New York","Syracuse","1317 Midland Ave",0,5,"View Incident
View Source"
2018-09-19,"Pennsylvania","Masontown","1 E Church St",1,4,"View Incident
View Source"
2018-09-19,"Wisconsin","Middleton","1850 Deming Way",1,4,"View Incident
View Source"
2018-09-19,"Illinois","Chicago","W Cermak Rd and S State St",0,4,"View Incident
View Source"
2018-09-18,"Louisiana","New Orleans (Algiers)","1100 block of Sumner St",0,4,"View Incident
View Source"
2018-09-18,"Tennessee","Memphis","4622 Faronia Rd",0,4,"View Incident
View Source"
2018-09-17,"Maryland","Silver Spring","123 Amberleigh Dr",4,1,"View Incident
View Source"
2018-09-15,"Wisconsin","Milwaukee","820 S 21st St",0,4,"View Incident
View Source"
2018-09-12,"California","Bakersfield","660 Manwell Blvd",6,0,"View Incident
View Source"
2018-09-11,"Illinois","Chicago","10600 block of S Bensley Avenue",0,4,"View Incident
View Source"
2018-09-10,"Tennessee","Memphis","140 Lt George W Lee Ave",0,5,"View Incident
View Source"
2018-09-09,"Florida","Jacksonville","N/A",0,4,"View Incident
View Source"
2018-09-09,"Illinois","Elgin","550 S McLean Blvd",1,3,"View Incident
View Source"
2018-09-09,"Alabama","Auburn","224 W Magnolia St",1,4,"View Incident
View Source"
2018-09-07,"Minnesota","Minneapolis","2024 N Washington Ave",1,3,"View Incident
View Source"
2018-09-06,"Ohio","Cincinnati","511 Walnut St",4,2,"View Incident
View Source"
2018-09-04,"Georgia","Albany","1200 block of Gillespie Ave",0,4,"View Incident
View Source"
2018-09-02,"Arkansas","Fort Smith","801 Garrison Ave",0,4,"View Incident
View Source"
2018-09-02,"Texas","San Antonio","600 block of Morningview St",0,4,"View Incident
View Source"
2018-09-02,"Alabama","Birmingham","500 23rd St S",0,7,"View Incident
View Source"
2018-09-02,"New Jersey","Paterson","43 12th Ave",2,2,"View Incident
View Source"
2018-09-02,"California","San Bernardino","1277 East Lynwood Drive",0,8,"View Incident
View Source"
2018-09-02,"New Jersey","Trenton","Stuyvesant Ave and Bryn Mawr Ave",0,4,"View Incident
View Source"
2018-09-01,"Ohio","Cleveland","3232 Lakeside Ave East",1,7,"View Incident
View Source"
2018-09-01,"Florida","Fort Lauderdale (Lauderhill)","5225 NW 24th Ct",1,3,"View Incident
View Source"
2018-08-31,"Colorado","Aurora","1900 block of Peoria St",2,3,"View Incident
View Source"
2018-08-27,"Arkansas","Pine Bluff","2600 block of W 34th Ave",1,3,"View Incident
View Source"
2018-08-26,"Florida","Jacksonville","2 Independent Dr",3,9,"View Incident
View Source"
2018-08-26,"Texas","Wichita Falls","2400 block of Sheppard Access Rd",1,3,"View Incident
View Source"
2018-08-25,"Virginia","Richmond","4 N 18th St",0,5,"View Incident
View Source"
2018-08-25,"Tennessee","Nashville","1564 9th Ave N",1,4,"View Incident
View Source"
2018-08-23,"Pennsylvania","Philadelphia","5800 block of Oakland St",0,4,"View Incident
View Source"
2018-08-22,"Missouri","Saint Louis","I-64 and Jefferson Ave",0,4,"View Incident
View Source"
2018-08-21,"Tennessee","Memphis","2119 E Alcy Rd",0,4,"View Incident
View Source"
2018-08-20,"Tennessee","Jackson","60 Heritage Square",1,4,"View Incident
View Source"
2018-08-20,"Ohio","Cleveland","E 94th St and Kinsman Rd",1,3,"View Incident
View Source"
2018-08-19,"Illinois","Chicago","7400 block of S Dante Ave",0,5,"View Incident
View Source"
2018-08-18,"New York","Bronx","925 Allerton Ave",0,4,"View Incident
View Source"
2018-08-17,"Illinois","Chicago","1600 block of W 65th St",0,7,"View Incident
View Source"
2018-08-15,"South Carolina","Greenwood","Mimosa Ct",0,5,"View Incident
View Source"
2018-08-14,"Pennsylvania","Wyncote","1000 S Easton Rd",0,5,"View Incident
View Source"
2018-08-12,"California","Clearlake","4786 Yarrington Court",4,1,"View Incident
View Source"
2018-08-12,"Pennsylvania","Pittsburgh (East Liberty)","5600 block of Broad St",0,4,"View Incident
View Source"
2018-08-11,"Ohio","Columbus","1280 Summit St",0,4,"View Incident
View Source"
2018-08-11,"California","San Francisco","Geneva St and Mission St",1,4,"View Incident
View Source"
2018-08-11,"Colorado","Thornton","4050 E 100th Ave",1,3,"View Incident
View Source"
2018-08-10,"Missouri","Saint Louis","1515 N 13th St",0,4,"View Incident
View Source"
2018-08-10,"Michigan","Detroit","6300 block of Vinewood St",0,4,"View Incident
View Source"
2018-08-08,"New Jersey","Paterson","Mercer St and Franklin St",0,4,"View Incident
View Source"
2018-08-08,"Pennsylvania","Philadelphia","North 12th Street and West Huntingdon Street",2,4,"View Incident
View Source"
2018-08-05,"Illinois","Chicago","1 block of N Leclaire Ave",1,4,"View Incident
View Source"
2018-08-05,"Illinois","Chicago","900 block of S Karlov Ave",0,4,"View Incident
View Source"
2018-08-05,"Illinois","Chicago","1600 block of S Avers Ave",0,4,"View Incident
View Source"
2018-08-05,"Illinois","Chicago","1300 block of W 76th St",0,8,"View Incident
View Source"
2018-08-05,"Illinois","Chicago","1300 block of S Millard Ave",1,5,"View Incident
View Source"
2018-08-04,"Missouri","Kansas City","E 18th St and Highland Ave",0,6,"View Incident
View Source"
2018-08-04,"Nevada","Las Vegas","3400 block of Coran Ln",0,6,"View Incident
View Source"
2018-08-04,"Illinois","Chicago","1600 block of N Leclaire Ave",1,3,"View Incident
View Source"
2018-08-04,"Wisconsin","Milwaukee","40th St and Vliet St",0,4,"View Incident
View Source"
2018-07-31,"California","Gardena","1212 West 135th Street",2,3,"View Incident
View Source"
2018-07-30,"Georgia","Savannah","12328 Largo Dr",0,4,"View Incident
View Source"
2018-07-30,"Illinois","Chicago","1200 block of S Avers Ave",0,4,"View Incident
View Source"
2018-07-29,"Pennsylvania","York","100 block of E Maple St",0,4,"View Incident
View Source"
2018-07-29,"Arizona","Phoenix","2501 E Van Buren St",1,4,"View Incident
View Source"
2018-07-29,"Michigan","Lansing","Spring and River Street",0,4,"View Incident
View Source"
2018-07-28,"Louisiana","New Orleans","3400 S Claiborne Ave",3,7,"View Incident
View Source"
2018-07-28,"California","Los Angeles","8801 S Vermont Ave",2,4,"View Incident
View Source"
2018-07-27,"Illinois","Chicago","1100 block of S Troy St",0,4,"View Incident
View Source"
2018-07-27,"Texas","Robstown","603 East Avenue J",5,0,"View Incident
View Source"
2018-07-26,"Ohio","Cleveland","18416 St Clair Ave",1,6,"View Incident
View Source"
2018-07-26,"California","Oakland","73rd Ave and Bancroft Ave",2,2,"View Incident
View Source"
2018-07-26,"Texas","Dallas","3019 South Blvd",0,6,"View Incident
View Source"
2018-07-25,"Louisiana","New Orleans","7000 block of Bullard Ave",0,4,"View Incident
View Source"
2018-07-23,"Illinois","Chicago","6400 block of S May St",0,5,"View Incident
View Source"
2018-07-21,"Maryland","Baltimore","1000 block of Dundalk Ave",0,4,"View Incident
View Source"
2018-07-21,"Illinois","Chicago","3100 block of W Fulton St",2,5,"View Incident
View Source"
2018-07-20,"Washington","Sunnyside","500 block of S 15th St",1,4,"View Incident
View Source"
2018-07-20,"New Jersey","Elizabeth","323 Irvington Ave",0,4,"View Incident
View Source"
2018-07-18,"Oklahoma","Oklahoma City","7201 Melrose Ln",0,4,"View Incident
View Source"
2018-07-16,"District of Columbia","Washington","300 block of 53rd St NE",1,4,"View Incident
View Source"
2018-07-16,"Florida","Palm Beach Gardens (Riviera Beach)","2100 block of W 28th St",2,4,"View Incident
View Source"
2018-07-16,"Pennsylvania","Philadelphia","2100 block of N 4th St",1,4,"View Incident
View Source"
2018-07-15,"Colorado","Denver","50th Ave and Grant St",0,4,"View Incident
View Source"
2018-07-15,"Tennessee","Chattanooga","1400 Cowart St",0,5,"View Incident
View Source"
2018-07-14,"Maryland","Fort Washington","9500 block of Fort Foote Rd",0,4,"View Incident
View Source"
2018-07-13,"Virginia","Richmond","1401 Roseneath Rd",1,3,"View Incident
View Source"
2018-07-12,"Tennessee","Memphis","3678 Powers Rd",0,5,"View Incident
View Source"
2018-07-11,"Texas","Houston","9550 Bissonnet St",0,4,"View Incident
View Source"
2018-07-11,"Florida","Reddick","16300 block of NW Gainesville Rd",0,4,"View Incident
View Source"
2018-07-09,"Delaware","Wilmington","2709 Ferris Rd",5,0,"View Incident
View Source"
2018-07-09,"Florida","Orlando","Southland Blvd and Orange Blossom Trail",1,4,"View Incident
View Source"
2018-07-08,"Alabama","Brandon","565 US-80",0,6,"View Incident
View Source"
2018-07-08,"Tennessee","Memphis","Mount Moriah Rd and Mendenhall Rd",0,4,"View Incident
View Source"
2018-07-07,"Alabama","Wetumpka","135 Granite Way",3,2,"View Incident
View Source"
2018-07-05,"New York","Brooklyn","280 Herkimer St",0,4,"View Incident
View Source"
2018-07-05,"New York","Albany","First St and Lexington Ave",0,4,"View Incident
View Source"
2018-07-05,"California","Los Angeles","1600 block of W. 2nd Street",3,3,"View Incident
View Source"
2018-07-05,"Virginia","Virginia Beach","1800 block of Atlantic Ave",0,6,"View Incident
View Source"
2018-07-05,"Ohio","Lima","1440 Bellefontaine Ave",1,5,"View Incident
View Source"
2018-07-04,"Indiana","Gary","3400 block of Pierce St",1,3,"View Incident
View Source"
