"Incident Date","State","City Or County","Address","# Killed","# Injured","Operations"
2018-07-04,"Georgia","Atlanta","5456 E Fayetteville Rd",1,3,"View Incident
View Source"
2018-07-03,"Missouri","Saint Louis","1700 block of Billups Ave",1,5,"View Incident
View Source"
2018-07-03,"District of Columbia","Washington","1700 block of Benning Rd NE",0,4,"View Incident
View Source"
2018-07-02,"New York","Buffalo","Grape St",2,2,"View Incident
View Source"
2018-07-01,"Illinois","Chicago","3400 block of W Walnut Ave",0,6,"View Incident
View Source"
2018-06-30,"Georgia","Ashburn","800 Block of W. Washington",1,6,"View Incident
View Source"
2018-06-30,"Maryland","Baltimore","4000 block of Penhurst Ave",0,6,"View Incident
View Source"
2018-06-30,"New Jersey","Jersey City","Lexington Ave and John F Kennedy Blvd",0,5,"View Incident
View Source"
2018-06-28,"Maryland","Annapolis","888 Bestgate Rd",5,0,"View Incident
View Source"
2018-06-27,"California","Oakland","8901 MacArthur Boulevard",1,3,"View Incident
View Source"
2018-06-27,"Texas","San Antonio","100 block of Holly Street",0,4,"View Incident
View Source"
2018-06-27,"Connecticut","Hartford","124 Hillside Ave",0,4,"View Incident
View Source"
2018-06-25,"Illinois","Chicago","3900 block of S Vincennes Ave",0,6,"View Incident
View Source"
2018-06-24,"North Carolina","Sanford","109 S Steele St",1,6,"View Incident
View Source"
2018-06-24,"Florida","Punta Gorda","2450 Harbour Dr",0,4,"View Incident
View Source"
2018-06-24,"Florida","Indiantown","17068 SW Palm Beach St",0,4,"View Incident
View Source"
2018-06-24,"Florida","Palm Beach Gardens (Riviera Beach)","1200 block of W 35th St",1,3,"View Incident
View Source"
2018-06-24,"Ohio","Sandusky","1504 Milan Rd",0,5,"View Incident
View Source"
2018-06-24,"Indiana","Gary","2500 block of Harrison Street",1,3,"View Incident
View Source"
2018-06-23,"Kansas","Wichita","1403 Harding St",0,4,"View Incident
View Source"
2018-06-23,"Illinois","Chicago","100 block of East 51st St",1,4,"View Incident
View Source"
2018-06-23,"Tennessee","Covington","319 N High St",0,4,"View Incident
View Source"
2018-06-22,"Pennsylvania","Homestead (Munhall)","1324 Margaret St",1,3,"View Incident
View Source"
2018-06-21,"California","San Bernardino","279 W Base Line",1,3,"View Incident
View Source"
2018-06-21,"Louisiana","Morganza","Deaton Ln",0,4,"View Incident
View Source"
2018-06-21,"Illinois","Chicago","6500 block of S Claremont Ave",0,4,"View Incident
View Source"
2018-06-20,"California","Modesto","2300 block of West Hatch Road",0,5,"View Incident
View Source"
2018-06-19,"Alabama","Huntsville","905 Lee Dr NW",0,4,"View Incident
View Source"
2018-06-18,"Illinois","Bloomington","311 Riley Dr",3,1,"View Incident
View Source"
2018-06-18,"Illinois","Chicago","1300 block of S Loomis St",2,3,"View Incident
View Source"
2018-06-17,"North Carolina","Charlotte","3215 Queen City Dr",0,4,"View Incident
View Source"
2018-06-17,"New Jersey","Trenton","635 S Clinton Ave",1,19,"View Incident
View Source"
2018-06-17,"Georgia","Macon","325 Edgewood Ln",1,3,"View Incident
View Source"
2018-06-17,"Illinois","Chicago","2200 block of S Sacramento Ave",0,4,"View Incident
View Source"
2018-06-14,"Pennsylvania","Philadelphia","400 block of Penn St",0,4,"View Incident
View Source"
2018-06-14,"California","Union City","32992 Mission Blvd",0,5,"View Incident
View Source"
2018-06-14,"California","Tracy","West 6th Street",1,4,"View Incident
View Source"
2018-06-14,"New York","Buffalo","Marigold Ave",1,4,"View Incident
View Source"
2018-06-14,"Colorado","Westminster","5150 W 80th Ave",1,3,"View Incident
View Source"
2018-06-12,"New York","Bronx","W 166th St and Summit Ave",0,4,"View Incident
View Source"
2018-06-11,"Alabama","Montgomery","3220 block of Virginia Pines Ln",0,4,"View Incident
View Source"
2018-06-11,"Florida","Orlando","4932 Eaglesmere Dr",5,1,"View Incident
View Source"
2018-06-10,"Florida","Bradenton","5627 14th St W",1,5,"View Incident
View Source"
2018-06-10,"California","Valley Village","12719 Tiara St",0,6,"View Incident
View Source"
2018-06-10,"Indiana","Indianapolis (Lawrence)","4745 N Richardt Ave",1,4,"View Incident
View Source"
2018-06-10,"Illinois","Aurora","300 block of W Park Ave",0,7,"View Incident
View Source"
2018-06-10,"Illinois","Bloomington","1200 block of Orchard Rd",2,2,"View Incident
View Source"
2018-06-10,"Illinois","Chicago","6400 block of S Eberhart Ave",1,5,"View Incident
View Source"
2018-06-09,"Massachusetts","Boston","14 Copeland St",0,4,"View Incident
View Source"
2018-06-09,"North Carolina","Kannapolis","1709 S Cannon Blvd",0,4,"View Incident
View Source"
2018-06-09,"Pennsylvania","Philadelphia","2000 block of 20th St",1,4,"View Incident
View Source"
2018-06-05,"Florida","Jacksonville","Town Center Pkwy",3,1,"View Incident
View Source"
2018-06-03,"Texas","Dallas","4500 Spring Ave",0,5,"View Incident
View Source"
2018-06-03,"Illinois","Chicago","1200 block of W 73rd Pl",1,3,"View Incident
View Source"
2018-06-02,"Nebraska","Omaha","S 11th St and Farnam St",1,6,"View Incident
View Source"
2018-06-02,"New York","Buffalo","Strauss Street",0,5,"View Incident
View Source"
2018-05-31,"South Carolina","Timmonsville","544 Chaney Grove Rd",3,2,"View Incident
View Source"
2018-05-27,"Louisiana","Shreveport","857 E Stoner Ave",0,4,"View Incident
View Source"
2018-05-27,"Colorado","Aurora","15373 E 6th Ave",1,3,"View Incident
View Source"
2018-05-25,"Ohio","Cincinnati","1000 block of Ross Avenue",0,4,"View Incident
View Source"
2018-05-20,"Indiana","Anderson","1604 Madison Ave",0,4,"View Incident
View Source"
2018-05-20,"Mississippi","Hazlehurst","513 Monticello St",1,7,"View Incident
View Source"
2018-05-18,"Texas","Santa Fe","16000 Hwy 6",10,13,"View Incident
View Source"
2018-05-16,"Texas","Ponder","610 Lone Star Park Ln",5,1,"View Incident
View Source"
2018-05-14,"Maryland","Baltimore","2020 Etting St",0,4,"View Incident
View Source"
2018-05-13,"California","Stockton","2436 Belleview Street",3,2,"View Incident
View Source"
2018-05-13,"Mississippi","Byhalia","French Rd and Berta Rd",0,4,"View Incident
View Source"
2018-05-13,"California","Los Angeles","365 W Manchester Avenue",2,2,"View Incident
View Source"
2018-05-12,"Nebraska","Omaha","3201 Decatur St",0,6,"View Incident
View Source"
2018-05-12,"New Jersey","Paulsboro","275 W Buck St",0,4,"View Incident
View Source"
2018-05-11,"Missouri","Saint Louis","4800 block of Farlin Ave",0,4,"View Incident
View Source"
2018-05-11,"Oklahoma","Talihina","2nd St and Dallas St",1,4,"View Incident
View Source"
2018-05-09,"Nebraska","Omaha","Sahler St and N 48th St",0,4,"View Incident
View Source"
2018-05-09,"Missouri","Saint Louis","5200 block of Minerva Avenue",0,4,"View Incident
View Source"
2018-05-07,"California","San Diego","15th St and J St",0,5,"View Incident
View Source"
2018-05-06,"Oklahoma","Stillwater","2020 East Lakeview Road",0,4,"View Incident
View Source"
2018-05-06,"Tennessee","Memphis","499 North Watkins",2,4,"View Incident
View Source"
2018-05-05,"Georgia","Columbus","4944 Sentry Street",0,5,"View Incident
View Source"
2018-05-04,"North Carolina","Henderson","519 Hilliard St",0,4,"View Incident
View Source"
2018-05-04,"Illinois","Chicago Heights","200 block of E 23rd St",0,4,"View Incident
View Source"
2018-05-02,"Illinois","Chicago","3500 block of W Grenshaw St",1,4,"View Incident
View Source"
2018-05-02,"Minnesota","Minneapolis","2400 block of Ogema Place",0,6,"View Incident
View Source"
2018-05-02,"New York","Brooklyn","Bristol St",1,4,"View Incident
View Source"
2018-05-01,"Louisiana","New Orleans","3200 block of Saint Claude Ave",0,5,"View Incident
View Source"
2018-04-30,"Florida","Pompano Beach","4251 N Dixie Hwy",0,4,"View Incident
View Source"
2018-04-30,"District of Columbia","Washington","3600 block of New York Ave NE",0,4,"View Incident
View Source"
2018-04-29,"Tennessee","Wartburg","519 South Kingston St",0,4,"View Incident
View Source"
2018-04-29,"Washington","Seattle (Skyway)","12603 Renton Ave S",2,2,"View Incident
View Source"
2018-04-29,"North Carolina","Monroe","1500 block of Massey St",1,3,"View Incident
View Source"
2018-04-29,"Florida","West Palm Beach","1969 S Military Trail",1,3,"View Incident
View Source"
2018-04-28,"North Carolina","Maxton","Modest Rd",0,5,"View Incident
View Source"
2018-04-25,"Arkansas","Pine Bluff","300 block of West 24th Street",0,4,"View Incident
View Source"
2018-04-25,"Missouri","Saint Louis","1151 Northdale Dr",3,1,"View Incident
View Source"
2018-04-24,"Michigan","Flint","2200 block of Ave A",0,4,"View Incident
View Source"
2018-04-22,"Louisiana","New Orleans","1900 block of St Roch Ave",1,5,"View Incident
View Source"
2018-04-22,"Tennessee","Antioch","3571 Murfreesboro Pike",4,3,"View Incident
View Source"
2018-04-21,"Pennsylvania","Philadelphia","1800 block of W Diamond St",2,2,"View Incident
View Source"
2018-04-20,"California","San Francisco","3rd Street and Quesada Ave",1,5,"View Incident
View Source"
2018-04-18,"North Carolina","Asheville","73 Hansel Ave",4,3,"View Incident
View Source"
2018-04-15,"Louisiana","Shreveport","6956 Jewella Ave",0,6,"View Incident
View Source"
2018-04-09,"California","Vallejo","201 Maine St",0,4,"View Incident
View Source"
2018-04-08,"North Carolina","Hickory","247 1st Ave NW",1,3,"View Incident
View Source"
2018-04-08,"Florida","Miami","1300 block of NW 63rd Terrace",2,2,"View Incident
View Source"
2018-04-06,"Florida","Jacksonville","6100 block of Transylvania Ave",0,4,"View Incident
View Source"
2018-04-06,"Virginia","Virginia Beach","5800 block of Pickering St",1,3,"View Incident
View Source"
2018-04-04,"Louisiana","New Orleans","3300 Garden Oaks Drive",2,2,"View Incident
View Source"
2018-04-02,"Texas","Houston","8500 block of Redcliff Rd",1,3,"View Incident
View Source"
2018-04-01,"Alabama","Mobile","3556 Halls Mill Rd",1,4,"View Incident
View Source"
2018-04-01,"Michigan","Saginaw","600 block of Yale St",0,5,"View Incident
View Source"
2018-03-31,"New Jersey","Asbury Park","Atlantic Ave and Monmouth Ave",0,5,"View Incident
View Source"
2018-03-29,"Texas","Plano","7401 Alma Dr",1,3,"View Incident
View Source"
2018-03-29,"New Jersey","Camden","Kaighn Ave and Haddon Ave",0,4,"View Incident
View Source"
2018-03-24,"Utah","Salt Lake City (West Valley City)","3180 South 5600 West",0,4,"View Incident
View Source"
2018-03-21,"California","San Francisco","949 Geneva Ave",1,5,"View Incident
View Source"
2018-03-17,"Kentucky","Louisville","2928 W Kentucky St",0,7,"View Incident
View Source"
2018-03-17,"Illinois","Harvey","16700 S Halsted St",0,4,"View Incident
View Source"
2018-03-13,"Florida","Macclenny","South Blvd",0,4,"View Incident
View Source"
2018-03-12,"California","Modesto","2000 block of Robertson Rd",0,4,"View Incident
View Source"
2018-03-11,"Illinois","Champaign","700 block of N Hickory St",1,3,"View Incident
View Source"
2018-03-11,"Indiana","South Bend","800 block of E Dayton St",0,6,"View Incident
View Source"
2018-03-11,"Michigan","Saginaw","Cumberland Ave and Hess St",0,5,"View Incident
View Source"
2018-03-09,"North Carolina","Wadesboro","1300 E Caswell St",3,1,"View Incident
View Source"
2018-03-07,"Alabama","Hurtsboro","531 Main Street",2,2,"View Incident
View Source"
2018-03-04,"Illinois","Rockford","400 Howard Ave",1,4,"View Incident
View Source"
2018-03-03,"Florida","Miami","1300 Block of NW 62nd Ln",0,4,"View Incident
View Source"
2018-03-03,"New York","Brooklyn","Kings Highway and Utica Avenue",1,3,"View Incident
View Source"
2018-02-27,"Connecticut","Bridgeport","1306 Stratford Ave",0,4,"View Incident
View Source"
2018-02-26,"Michigan","Detroit","22000 block of Fenkell Ave",5,0,"View Incident
View Source"
2018-02-23,"Florida","Palm Beach Gardens (Riviera Beach)","W 23rd St",1,3,"View Incident
View Source"
2018-02-18,"Texas","San Antonio","2893 Cinema Ridge",0,5,"View Incident
View Source"
2018-02-17,"Kansas","Kansas City","1615 Minnesota",1,7,"View Incident
View Source"
2018-02-17,"Tennessee","Memphis","3188 N Watkins Ave",0,5,"View Incident
View Source"
2018-02-16,"Oklahoma","Oklahoma City","1700 block of SW 15",1,3,"View Incident
View Source"
2018-02-14,"Florida","Pompano Beach (Parkland)","5901 Pine Island Rd",17,17,"View Incident
View Source"
2018-02-13,"Louisiana","New Orleans","5400 block of Andry Street",3,3,"View Incident
View Source"
2018-02-11,"Michigan","Detroit","19432 Lamont Street",4,3,"View Incident
View Source"
2018-02-10,"Kentucky","Paintsville","413 Mill Street",5,0,"View Incident
View Source"
2018-02-07,"Florida","Lake Worth (Lantana)","I-95 and Lantana Ave",3,3,"View Incident
View Source"
2018-02-05,"Colorado","Colorado Springs","4225 Galley Rd",2,4,"View Incident
View Source"
2018-02-03,"Ohio","Cleveland (Garfield Heights)","11321 Broadway Ave",1,5,"View Incident
View Source"
2018-01-31,"Missouri","Saint Louis","Goodfellow Blvd and Dr Martin Luther King Dr",0,4,"View Incident
View Source"
2018-01-28,"Pennsylvania","Melcroft","1301 Indian Creek Valley Rd",5,0,"View Incident
View Source"
2018-01-28,"Pennsylvania","Reading","123 S 3rd St",4,0,"View Incident
View Source"
2018-01-28,"Indiana","Indianapolis","1313 N Sherman Dr",2,3,"View Incident
View Source"
2018-01-27,"California","Los Angeles","243 East 119th St",0,5,"View Incident
View Source"
2018-01-27,"Kentucky","Bowling Green","645 Pearl Street",0,4,"View Incident
View Source"
2018-01-25,"District of Columbia","Washington","1600 block of Kenilworth Ave NE",0,4,"View Incident
View Source"
2018-01-23,"Pennsylvania","Philadelphia","N 24th St and Ridge Ave",0,4,"View Incident
View Source"
2018-01-23,"Kentucky","Benton","416 High School Rd",2,14,"View Incident
View Source"
2018-01-21,"Florida","Orlando","3101 Willow Bend Blvd",0,4,"View Incident
View Source"
2018-01-21,"Illinois","Chicago","3200 W Division St",0,4,"View Incident
View Source"
2018-01-17,"District of Columbia","Washington","2000 block of 16th St SE",1,3,"View Incident
View Source"
2018-01-15,"Florida","Alachua","14223 NW 156th Pl",0,5,"View Incident
View Source"
2018-01-14,"Alabama","Eutaw","809 Mesopotamia St",1,4,"View Incident
View Source"
2018-01-14,"Alabama","Madison","101 Westchester Dr",0,4,"View Incident
View Source"
2018-01-12,"Tennessee","Nashville","2614 Jenkins Ct",3,2,"View Incident
View Source"
2018-01-11,"Missouri","Saint Robert (St Robert)","St Robert Outer Road and Houston Road",2,2,"View Incident
View Source"
2018-01-07,"Alabama","Union Springs","U.S. Highway 29",1,5,"View Incident
View Source"
2018-01-07,"Florida","Plantation","5225 W Broward Blvd",0,4,"View Incident
View Source"
2018-01-05,"Mississippi","Hattiesburg","6168 US 49",0,6,"View Incident
View Source"
2018-01-04,"Arkansas","Brinkley","615 W 6th St",1,3,"View Incident
View Source"
2018-01-01,"Alabama","Huntsville","2025 Sparkman Dr NW",1,3,"View Incident
View Source"
