team,staff,score,win
ND,Trent,38,W
ND,Griffin,31,L
ND,Tyler,41,W
ND,Stephen,34,W
ND,Ben,42,W
ND,Dom,49,W
ND,Nitti,38,W
ND,Nick,41,W
ND,Sami,23,L
ND,Andrew,45,W
Miami,Trent,30,W
Miami,Griffin,42,W
Miami,Tyler,31,W
Miami,Stephen,30,W
Miami,Ben,28,W
Miami,Nitti,23,L
Miami,Nick,31,W
Miami,Sami,34,W
Miami,Andrew,28,W
Louisville,Trent,24,L
Louisville,Griffin,7,L
Louisville,Tyler,21,L
Louisville,Stephen,10,L
Louisville,Ben,24,L
Louisville,Nitti,20,L
Louisville,Nick,31,L
Louisville,Sami,24,L
Louisville,Andrew,10,L
Virginia Tech,Trent,31,W
Virginia Tech,Griffin,28,W
Virginia Tech,Tyler,35,W
Virginia Tech,Stephen,28,W
Virginia Tech,Ben,17,L
Virginia Tech,Nitti,28,W
Virginia Tech,Nick,38,W
Virginia Tech,Sami,28,W
Virginia Tech,Andrew,27,W
Duke,Trent,23,L
Duke,Griffin,34,W
Duke,Tyler,34,W
Duke,Stephen,28,L
Duke,Ben,14,W
Duke,Nitti,19,L
Duke,Nick,27,W
Duke,Sami,33,L
Duke,Andrew,20,L
Michigan,Trent,24,W
Michigan,Griffin,14,L
Michigan,Tyler,28,W
Michigan,Stephen,7,L
Michigan,Ben,14,L
Michigan,Nitti,31,L
Michigan,Nick,28,L
Michigan,Sami,38,W
Michigan,Andrew,17,L
Pitt,Trent,20,L
Pitt,Griffin,35,W
Pitt,Tyler,24,L
Pitt,Stephen,24,L
Pitt,Ben,17,L
Pitt,Dom,16,L
Pitt,Nitti,17,L
Pitt,Nick,23,L
Pitt,Sami,26,W
Pitt,Andrew,14,L
Virginia,Trent,21,L
Virginia,Griffin,14,L
Virginia,Tyler,14,L
Virginia,Stephen,14,L
Virginia,Ben,14,L
Virginia,Nitti,27,W
Virginia,Nick,20,L
Virginia,Sami,27,L
Virginia,Andrew,13,L
BC,Trent,28,W
BC,Griffin,35,W
BC,Tyler,38,W
BC,Stephen,35,W
BC,Ben,27,W
BC,Nitti,30,W
BC,Nick,34,W
BC,Sami,36,W
BC,Andrew,24,W
UNC,Trent,13,L
UNC,Griffin,10,L
UNC,Tyler,13,L
UNC,Stephen,3,L
UNC,Ben,24,W
UNC,Nitti,24,L
UNC,Nick,35,L
UNC,Sami,14,L
UNC,Andrew,10,L
GT,Trent,27,W
GT,Griffin,31,L
GT,Tyler,27,L
GT,Stephen,34,W
GT,Ben,7,L
GT,Nitti,24,W
GT,Nick,24,L
GT,Sami,38,W
GT,Andrew,31,W
Wisconsin,Trent,20,L
Wisconsin,Griffin,42,W
Wisconsin,Tyler,24,L
Wisconsin,Stephen,28,W
Wisconsin,Ben,35,W
Wisconsin,Nitti,37,W
Wisconsin,Nick,31,W
Wisconsin,Sami,34,L
Wisconsin,Andrew,24,W