country	enrollment	continent
Albania	3	eu
Argentina	7	sa
Armenia	1	eu
Australia	14	oc
The Bahamas	1	na
Bangladesh	12	as
Belgium	1	eu
Bolivia	3	sa
Bosnia and Herzegovina	1	eu
Brazil	60	sa
Bulgaria	6	eu
Burkina Faso	1	af
Cameroon	3	af
Canada	56	na
Chile	9	sa
China	1776	as
Colombia	24	sa
Democratic Republic of the Congo	1	af
Costa Rica	5	na
Cuba	1	na
Czech Republic	3	eu
Ecuador	11	sa
Egypt	16	af
Ethiopia	3	af
France	19	eu
Georgia	1	as
Germany	23	eu
Ghana	6	af
Greece	3	eu
Guinea	1	af
Haiti	1	na
Honduras	1	na
Hungary	4	eu
India	339	as
Indonesia	16	as
Iran	60	as
Iraq	2	as
Ireland	1	eu
Israel	5	as
Italy	11	eu
Jamaica	4	na
Japan	26	as
Jordan	7	as
Kazakhstan	9	as
Kenya	5	af
South Korea	97	as
Kosovo	1	eu
Kuwait	5	as
Lebanon	3	as
Lesotho	1	af
Libya	3	af
Macedonia	1	eu
Malawi	1	af
Malaysia	17	as
Mexico	15	na
Mongolia	1	as
Morocco	2	af
Myanmar	1	as
Nepal	10	as
Netherlands	2	eu
New Zealand	4	oc
Nicaragua	2	na
Nigeria	20	af
Oman	2	as
Pakistan	5	as
Palestine	2	as
Panama	3	na
Peru	15	sa
Philippines	2	as
Poland	4	eu
Portugal	5	eu
Romania	2	eu
Russia	10	eu
Saudi Arabia	88	as
Senegal	3	af
Serbia	4	eu
Singapore	9	as
Slovakia	1	eu
Slovenia	1	eu
South Africa	5	af
Spain	13	eu
Sri Lanka	5	as
Sudan	1	af
Sweden	2	eu
Syria	2	as
Taiwan	86	as
Thailand	13	as
Trinidad and Tobago	1	na
Tunisia	1	af
Turkey	30	as
Uganda	3	af
Ukraine	6	eu
United Arab Emirates	3	as
United Kingdom	19	eu
Uruguay	5	sa
Uzbekistan	1	as
Venezuela	7	sa
Vietnam	19	as
Zambia	1	af